year,geo_name,geo,income
2013,"Census Tract 230.03","14000US06075023003",79890.0
2013,"Census Tract 231.02","14000US06075023102",34617.0
2013,"Census Tract 231.03","14000US06075023103",18846.0
2013,"Census Tract 232","14000US06075023200",43906.0
2013,"Census Tract 233","14000US06075023300",75857.0
2013,"Census Tract 234","14000US06075023400",54786.0
2013,"Census Tract 251","14000US06075025100",85345.0
2013,"Census Tract 252","14000US06075025200",108179.0
2013,"Census Tract 253","14000US06075025300",113854.0
2013,"Census Tract 254.01","14000US06075025401",80139.0
2013,"Census Tract 254.02","14000US06075025402",87844.0
2013,"Census Tract 254.03","14000US06075025403",66667.0
2013,"Census Tract 255","14000US06075025500",92656.0
2013,"Census Tract 256","14000US06075025600",71367.0
2013,"Census Tract 257.01","14000US06075025701",78819.0
2013,"Census Tract 257.02","14000US06075025702",55215.0
2013,"Census Tract 258","14000US06075025800",46447.0
2013,"Census Tract 259","14000US06075025900",82500.0
2013,"Census Tract 260.01","14000US06075026001",63449.0
2013,"Census Tract 260.02","14000US06075026002",62250.0
2013,"Census Tract 260.03","14000US06075026003",57461.0
2013,"Census Tract 260.04","14000US06075026004",62452.0
2013,"Census Tract 261","14000US06075026100",68139.0
2013,"Census Tract 262","14000US06075026200",79707.0
2013,"Census Tract 263.01","14000US06075026301",52484.0
2013,"Census Tract 263.02","14000US06075026302",66528.0
2013,"Census Tract 263.03","14000US06075026303",79702.0
2013,"Census Tract 264.01","14000US06075026401",46514.0
2013,"Census Tract 264.02","14000US06075026402",65642.0
2013,"Census Tract 264.03","14000US06075026403",39000.0
2013,"Census Tract 264.04","14000US06075026404",52527.0
2013,"Census Tract 301.01","14000US06075030101",74418.0
2013,"Census Tract 301.02","14000US06075030102",103404.0
2013,"Census Tract 302.01","14000US06075030201",83333.0
2013,"Census Tract 302.02","14000US06075030202",84531.0
2013,"Census Tract 303.01","14000US06075030301",91922.0
2013,"Census Tract 303.02","14000US06075030302",128858.0
2013,"Census Tract 304","14000US06075030400",141553.0
2013,"Census Tract 305","14000US06075030500",107466.0
2013,"Census Tract 306","14000US06075030600",129531.0
2013,"Census Tract 307","14000US06075030700",132396.0
2013,"Census Tract 308","14000US06075030800",132037.0
2013,"Census Tract 309","14000US06075030900",147669.0
